iter	Logloss
0	0.6866135556
1	0.6811213138
2	0.6753306499
3	0.6696516294
4	0.6659976259
5	0.662131536
6	0.6570700146
7	0.6521338492
8	0.6478452932
9	0.6420524278
10	0.6379964261
11	0.6342001393
12	0.6301769736
13	0.6251163411
14	0.6214394438
15	0.6177504062
16	0.6149371128
17	0.6105522768
18	0.6061036272
19	0.6023021259
20	0.6002008708
21	0.5953345978
22	0.5929683972
23	0.5893900907
24	0.5856698413
25	0.5827713377
26	0.5796824693
27	0.5766589828
28	0.5721447147
29	0.5698697971
30	0.5672174974
31	0.5651170049
32	0.5632824324
33	0.5608756414
34	0.5591456757
35	0.5568941949
36	0.5543218976
37	0.5520956868
38	0.5500754075
39	0.5482598966
40	0.5471906616
41	0.5446787267
42	0.5429382462
43	0.5413423464
44	0.53889507
45	0.536626191
46	0.5346788226
47	0.5331497153
48	0.5317983789
49	0.5297411696
50	0.527265393
51	0.5257894437
52	0.524394547
53	0.5233499357
54	0.5220308531
55	0.5192890212
56	0.5175512849
57	0.5159742426
58	0.5147843811
59	0.5133219139
60	0.5119026799
61	0.5109743687
62	0.5096552138
63	0.5081530096
64	0.505764168
65	0.5036474067
66	0.5016906279
67	0.4998650203
68	0.498410415
69	0.4967600316
70	0.4950611862
71	0.4937140691
72	0.4908732053
73	0.4893340846
74	0.4881608505
75	0.4861911478
76	0.483934547
77	0.4834543027
78	0.4829833592
79	0.4816656498
80	0.4807780251
81	0.4796640382
82	0.4789289841
83	0.4773097413
84	0.4761939245
85	0.4752931201
86	0.4740253129
87	0.4722272272
88	0.4711871423
89	0.4696781957
90	0.4683775474
91	0.4673914834
92	0.4664664328
93	0.4650511528
94	0.4630150043
95	0.4616726565
96	0.4611340556
97	0.4595787185
98	0.4583560494
99	0.4567977994
100	0.4560682821
101	0.4540874561
102	0.4530846123
103	0.4524463652
104	0.4518270094
105	0.4508991985
106	0.4499041465
107	0.449019708
108	0.4483550161
109	0.4470574321
110	0.4463994912
111	0.4458264626
112	0.44458344
113	0.4432131721
114	0.4415084127
115	0.4407573667
116	0.4399534449
117	0.4392975304
118	0.4381857756
119	0.4371981856
120	0.4362572892
121	0.4346260397
122	0.4337245789
123	0.4332515842
124	0.4321953943
125	0.4305575451
126	0.4298368135
127	0.4281865499
128	0.4271457106
129	0.4260769227
130	0.4255388323
131	0.4249013333
132	0.4240260108
133	0.4227333029
134	0.4205642208
135	0.4196406271
136	0.4186798419
137	0.4182747545
138	0.4175673942
139	0.4169849107
140	0.416005838
141	0.4146933962
142	0.4141393107
143	0.4136522934
144	0.4128556057
145	0.4121711698
146	0.4114216926
147	0.4100663573
148	0.4096902071
149	0.4091457987
150	0.4083409232
151	0.4074265782
152	0.4065599454
153	0.4052020768
154	0.4042176595
155	0.4031191296
156	0.402104012
157	0.4015380205
158	0.4009316127
159	0.4004675493
160	0.3992317292
161	0.3989696801
162	0.3984529455
163	0.3976840578
164	0.3974127447
165	0.3967521611
166	0.39614802
167	0.3955011743
168	0.3952567048
169	0.394638967
170	0.3938852566
171	0.393225152
172	0.3926859026
173	0.3922106896
174	0.3917109774
175	0.3904392013
176	0.3893264597
177	0.3885854655
178	0.3880387525
179	0.3873626045
180	0.387005181
181	0.3864461325
182	0.386074164
183	0.3855389336
184	0.3849645056
185	0.3842863777
186	0.3831508269
187	0.3826601607
188	0.3820421259
189	0.3815691315
190	0.3811989897
191	0.3806507902
192	0.3802643198
193	0.3795227506
194	0.3789694012
195	0.378733383
196	0.378156984
197	0.3774366974
198	0.3761578924
199	0.3759267461
200	0.3753373595
201	0.3752860411
202	0.3744216298
203	0.3738689987
204	0.3729757275
205	0.372148548
206	0.3711388379
207	0.3705220068
208	0.3704422851
209	0.3701595515
210	0.3695480138
211	0.3689765095
212	0.3682506171
213	0.3678387406
214	0.3676089155
215	0.3670984212
216	0.366692904
217	0.3662562571
218	0.3661009914
219	0.3654601746
220	0.3644738682
221	0.3638435748
222	0.3632319981
223	0.3627192866
224	0.3621603731
225	0.361708626
226	0.3607248005
227	0.3602282108
228	0.3597711918
229	0.3593825613
230	0.3591345958
231	0.3584123678
232	0.3578234923
233	0.357621661
234	0.3572957084
235	0.3563841215
236	0.356083153
237	0.3559404396
238	0.3555506042
239	0.35515846
240	0.3546095598
241	0.3541901605
242	0.3539188253
243	0.353136528
244	0.352327186
245	0.3520418285
246	0.3513920688
247	0.3505673627
248	0.3501026264
249	0.3496915822
250	0.3489529445
251	0.3481919177
252	0.3476468521
253	0.3472119276
254	0.3466761636
255	0.3462434291
256	0.3457954846
257	0.3449382321
258	0.3446382533
259	0.3443157688
260	0.3436215831
261	0.3427791994
262	0.3425121672
263	0.3422734429
264	0.3419690968
265	0.341713951
266	0.3410754817
267	0.3406947055
268	0.3404814143
269	0.3400364552
270	0.3394546838
271	0.338710208
272	0.3382337421
273	0.3378673854
274	0.3374574392
275	0.3369897013
276	0.3365781835
277	0.3362356822
278	0.3357318035
279	0.3353030706
280	0.3349664267
281	0.3345817236
282	0.3341940944
283	0.3334090162
284	0.3327117048
285	0.3324970175
286	0.3323263574
287	0.3317553868
288	0.3314324288
289	0.3309908534
290	0.3305746244
291	0.3301502665
292	0.3298963059
293	0.3289566417
294	0.3282379042
295	0.3278535758
296	0.3272430539
297	0.3265685093
298	0.3258542609
299	0.3251183086
300	0.3248664412
301	0.3240833068
302	0.3234917314
303	0.3228652742
304	0.321780776
305	0.32135687
306	0.3210091739
307	0.3208526389
308	0.3206153781
309	0.3203016708
310	0.3196618905
311	0.3192310515
312	0.3187479202
313	0.3185076616
314	0.3179016798
315	0.3175370432
316	0.3173387954
317	0.3168918848
318	0.3164315983
319	0.3157339418
320	0.3154822215
321	0.3153142264
322	0.3150150726
323	0.3145678929
324	0.3141941621
325	0.3138125955
326	0.3129306777
327	0.3126460561
328	0.3123415185
329	0.3117887126
330	0.3116801238
331	0.3110476866
332	0.3108522596
333	0.310188061
334	0.3095909755
335	0.309061066
336	0.3086963594
337	0.3078892214
338	0.3069436083
339	0.3066480216
340	0.3060494015
341	0.3056001578
342	0.304968053
343	0.3044734197
344	0.3036234953
345	0.3032959268
346	0.3030517785
347	0.302896125
348	0.3024362005
349	0.3022295927
350	0.3015995414
351	0.3015335049
352	0.3008614461
353	0.3005735891
354	0.3001469524
355	0.2996376282
356	0.2992200018
357	0.2987595849
358	0.2983214279
359	0.2980687786
360	0.2975295326
361	0.2968081348
362	0.2964102532
363	0.2961490755
364	0.2958596548
365	0.2955110456
366	0.2952711222
367	0.2946665681
368	0.2943659441
369	0.2942105166
370	0.2934840615
371	0.2930197217
372	0.2928043487
373	0.2923825821
374	0.2915678194
375	0.2909962601
376	0.2900726881
377	0.2895381295
378	0.2885662882
379	0.2881161417
380	0.287635274
381	0.2873025092
382	0.2868048768
383	0.286061234
384	0.2855884446
385	0.2852623221
386	0.2849217756
387	0.2844867119
388	0.2843618283
389	0.2839713519
390	0.2836789574
391	0.2834984189
392	0.2832547333
393	0.2827650424
394	0.2823843526
395	0.2819126869
396	0.2814346208
397	0.2810123611
398	0.2805828115
399	0.2801550688
400	0.2796691871
401	0.2793454766
402	0.2789093327
403	0.2785784136
404	0.2778784118
405	0.2777447329
406	0.2776235924
407	0.2774883008
408	0.2773157256
409	0.2769274521
410	0.2765781992
411	0.2761815544
412	0.2758477126
413	0.2756071381
414	0.2754213389
415	0.2752819376
416	0.2750893521
417	0.2746687694
418	0.2744028245
419	0.2740772665
420	0.2732021973
421	0.2729262852
422	0.2721364045
423	0.2718449545
424	0.2716086347
425	0.2707851605
426	0.2705662613
427	0.2702982986
428	0.270190444
429	0.269857619
430	0.269119362
431	0.2687041998
432	0.2681491698
433	0.2677704183
434	0.2673814186
435	0.2669430377
436	0.2659673691
437	0.2651617244
438	0.264489412
439	0.2642300974
440	0.2636798815
441	0.2633915941
442	0.2629512959
443	0.2626417087
444	0.2621715719
445	0.2618527629
446	0.2615354707
447	0.2610798371
448	0.2604403902
449	0.259606198
450	0.2591926662
451	0.2590238372
452	0.2588246561
453	0.2584606396
454	0.2581303932
455	0.2578357816
456	0.2574643941
457	0.2570282476
458	0.2564827784
459	0.2558445428
460	0.2554654726
461	0.2548701674
462	0.2546142281
463	0.2540827305
464	0.2535951898
465	0.2532686876
466	0.2528665009
467	0.2523792711
468	0.2521021883
469	0.2517907049
470	0.2513912207
471	0.2509755183
472	0.2504746831
473	0.2500434251
474	0.249836846
475	0.2497118581
476	0.2493998568
477	0.2491387136
478	0.2489647923
479	0.2484420427
480	0.2483329745
481	0.2480490875
482	0.2477502971
483	0.2475901524
484	0.2472291327
485	0.2469546346
486	0.2465619896
487	0.2461608043
488	0.2459035253
489	0.2457447754
490	0.2452769541
491	0.2450195561
492	0.244957719
493	0.2446386287
494	0.244240274
495	0.2439228408
496	0.2434525076
497	0.2427410399
498	0.2423964628
499	0.2421262491
500	0.2418978129
501	0.2418092793
502	0.2415788949
503	0.2413743346
504	0.2410333823
505	0.2408155339
506	0.2405548131
507	0.2404271985
508	0.2402790095
509	0.2399514875
510	0.2397792986
511	0.2394823206
512	0.2388768797
513	0.2383739217
514	0.2381869839
515	0.2379055248
516	0.2378410703
517	0.2378051515
518	0.2377361743
519	0.2372972503
520	0.2369387435
521	0.2368991248
522	0.236773455
523	0.2363281139
524	0.235935674
525	0.2357222958
526	0.2356837964
527	0.2355062654
528	0.235448707
529	0.2353262296
530	0.2352442247
531	0.2351127192
532	0.2347783903
533	0.2343243097
534	0.2339775537
535	0.2338809228
536	0.2334508777
537	0.2332589955
538	0.2325273264
539	0.231820308
540	0.2314496762
541	0.2311461774
542	0.2311218862
543	0.2309274164
544	0.2306885393
545	0.2306196287
546	0.2301740458
547	0.2299757996
548	0.2293567073
549	0.229119069
550	0.2287637103
551	0.2285148282
552	0.228154955
553	0.2276908046
554	0.227316141
555	0.2269423
556	0.2267572358
557	0.226532417
558	0.2262044459
559	0.2260735847
560	0.2260307383
561	0.2256442237
562	0.225444575
563	0.22532109
564	0.2248947916
565	0.2245683705
566	0.2241139453
567	0.2236935546
568	0.223454445
569	0.2233091121
570	0.2230292267
571	0.2227565678
572	0.222547807
573	0.2222922109
574	0.2219021301
575	0.2215677886
576	0.2212159397
577	0.2209749866
578	0.2208989643
579	0.2202681789
580	0.2199121576
581	0.2198608934
582	0.2196018697
583	0.2192514861
584	0.2192320273
585	0.2191952099
586	0.2185067308
587	0.2181416075
588	0.2178967941
589	0.2178686374
590	0.2177215575
591	0.2173799699
592	0.2170526256
593	0.2169406839
594	0.2168476323
595	0.2164941091
596	0.2164633726
597	0.2162962387
598	0.2159852662
599	0.2158590256
600	0.2156619185
601	0.2151856954
602	0.2148855391
603	0.2146917447
604	0.2145855989
605	0.2142885335
606	0.2142187514
607	0.2135148916
608	0.2134692001
609	0.2134332878
610	0.2131362139
611	0.212869524
612	0.2125813472
613	0.2123722393
614	0.2121587626
615	0.2121119265
616	0.2116626039
617	0.2114984875
618	0.2112510585
619	0.2111185303
620	0.2110900672
621	0.2107206009
622	0.2106697107
623	0.2102610135
624	0.2102291698
625	0.2102059516
626	0.210166678
627	0.2099686231
628	0.2098114685
629	0.2092894083
630	0.2090090691
631	0.2087128408
632	0.208444063
633	0.207761785
634	0.207741575
635	0.2074564069
636	0.207274087
637	0.2069425372
638	0.2066609651
639	0.2063431924
640	0.2063214484
641	0.206175858
642	0.2059804743
