iter	Passed	Remaining
0	58	58299
1	60	30202
2	62	20872
3	64	16179
4	66	13330
5	69	11478
6	71	10129
7	73	9122
8	75	8337
9	77	7706
10	80	7202
11	82	6824
12	84	6446
13	86	6122
14	89	5846
15	91	5615
16	93	5394
17	95	5229
18	98	5071
19	100	4934
20	102	4798
21	104	4666
22	107	4569
23	109	4472
24	112	4374
25	114	4288
26	117	4220
27	119	4156
28	122	4101
29	125	4052
30	127	3996
31	130	3939
32	132	3881
33	135	3844
34	137	3803
35	140	3754
36	142	3707
37	144	3668
38	147	3635
39	150	3600
40	152	3561
41	154	3519
42	156	3482
43	158	3444
44	160	3410
45	162	3377
46	165	3347
47	167	3321
48	169	3293
49	171	3266
50	174	3242
51	176	3216
52	178	3191
53	180	3167
54	183	3146
55	185	3123
56	187	3101
57	189	3079
58	191	3060
59	193	3039
60	196	3018
61	198	2998
62	200	2982
63	202	2967
64	205	2950
65	207	2933
66	209	2919
67	211	2902
68	214	2888
69	216	2877
70	218	2865
71	221	2851
72	223	2837
73	225	2822
74	227	2810
75	230	2803
76	232	2792
77	235	2782
78	237	2768
79	239	2758
80	242	2746
81	244	2735
82	246	2723
83	248	2713
84	250	2700
85	253	2690
86	255	2679
87	258	2676
88	260	2668
89	262	2657
90	265	2647
91	267	2639
92	269	2628
93	271	2618
94	274	2618
95	278	2618
96	280	2614
97	283	2609
98	285	2600
99	287	2591
100	290	2588
101	293	2580
102	295	2571
103	297	2562
104	299	2556
105	302	2550
106	304	2543
107	307	2536
108	309	2530
109	311	2521
110	313	2514
111	316	2507
112	318	2501
113	321	2495
114	323	2489
115	325	2481
116	328	2476
117	330	2468
118	332	2462
119	335	2459
120	337	2453
121	340	2449
122	342	2441
123	345	2437
124	347	2431
125	349	2425
126	351	2419
127	354	2414
128	356	2408
129	358	2402
130	361	2397
131	363	2393
132	366	2388
133	368	2382
134	370	2375
135	372	2368
136	375	2362
137	377	2355
138	379	2351
139	381	2344
140	383	2338
141	386	2332
142	388	2327
143	390	2323
144	393	2318
145	395	2312
146	397	2308
147	399	2301
148	402	2296
149	404	2291
150	406	2285
151	408	2280
152	411	2275
153	413	2270
154	415	2264
155	417	2259
156	419	2253
157	422	2250
158	424	2246
159	426	2240
160	429	2237
161	431	2231
162	433	2226
163	435	2221
164	438	2217
165	440	2212
166	442	2208
167	444	2203
168	447	2199
169	449	2194
170	451	2189
171	453	2184
172	456	2180
173	458	2175
174	460	2170
175	462	2166
176	464	2161
177	466	2156
178	469	2151
179	471	2147
180	473	2142
181	475	2137
182	477	2132
183	479	2127
184	482	2123
185	484	2120
186	486	2115
187	488	2111
188	491	2107
189	493	2103
190	495	2099
191	497	2094
192	499	2090
193	502	2086
194	504	2082
195	506	2079
196	509	2075
197	511	2070
198	513	2066
199	515	2063
200	517	2059
201	518	2049
202	521	2046
203	523	2042
204	525	2037
205	527	2033
206	529	2030
207	532	2028
208	535	2025
209	537	2023
210	540	2020
211	542	2018
212	544	2013
213	546	2009
214	549	2005
215	551	2001
216	553	1998
217	555	1993
218	557	1989
219	560	1988
220	563	1985
221	565	1981
222	567	1977
223	570	1976
224	572	1973
225	574	1969
226	577	1965
227	579	1962
228	581	1958
229	583	1954
230	586	1951
231	588	1948
232	590	1944
233	592	1940
234	595	1937
235	597	1933
236	599	1929
237	601	1926
238	603	1922
239	606	1919
240	608	1915
241	610	1912
242	612	1909
243	615	1905
244	617	1902
245	619	1899
246	621	1895
247	624	1892
248	626	1890
249	628	1886
250	631	1883
251	633	1880
252	635	1876
253	637	1873
254	640	1869
255	642	1866
256	644	1862
257	646	1860
258	649	1856
259	651	1853
260	653	1849
261	655	1846
262	657	1843
263	660	1840
264	662	1837
265	664	1834
266	666	1831
267	669	1827
268	671	1824
269	673	1821
270	675	1817
271	677	1814
272	680	1811
273	682	1807
274	684	1804
275	686	1801
276	688	1797
277	691	1794
278	693	1791
279	695	1788
280	697	1785
281	699	1782
282	702	1778
283	704	1775
284	706	1772
285	708	1769
286	711	1766
287	713	1763
288	715	1760
289	717	1757
290	720	1755
291	722	1752
292	725	1750
293	728	1750
294	731	1747
295	733	1745
296	736	1743
297	738	1740
298	741	1737
299	743	1735
300	746	1732
301	748	1730
302	751	1727
303	754	1726
304	757	1726
305	760	1723
306	762	1722
307	766	1721
308	768	1719
309	771	1717
310	774	1715
311	777	1714
312	780	1713
313	784	1713
314	787	1712
315	790	1711
316	794	1711
317	797	1710
